text,sentiment,eof,responsiveness,accuracy,
"আসসালামু আলাইকুম, আমি কেরানীগঞ্জের মনুবাপারির ঢালে থাকি, এখানে একটি ছোট বাজার আছে, কিন্তু প্রতিটি নিত্যপ্রয়োজনীয় পণ্যের দাম খুব বেশি, যেমন ডিম পনেরো টাকা পিস, আলু ষাট টাকা কেজি, বেগুন একশ ষাট টাকা কেজি, পটল একশ টাকা কেজি, কচু একশ টাকা কেজি, বরবটি একশ ষাট টাকা কেজি, লাউ একশ বিশ টাকা পিস, ধনিয়া পাতা পাঁচশ টাকা কেজি, পুঁইশাক পঞ্চাশ থেকে ষাট টাকা আঁটি, প্রতিটি মাছের দামও অনেক চড়া, এদের কোনো মূল্য তালিকা থাকে না, আরও দুটি বাজার আছে, জিনজিরা বাজার এবং আগানগর বাজার, এদেরও কোনো মূল্য তালিকা নেই, এরা রীতিমতো ডাকাতি করে, আমরা এখানে খুব খারাপ সময় পার করছি, দয়া করে এখানে এসে একটু মনিটরিং করুন, আপনারা এলে আমি অবশ্যই আপনাদের সাথে থাকব, শুক্রবারে সবচেয়ে বেশি দামে বিক্রি করে",negative,low,n/a,low,
"বাংলাদেশের প্রত্যেকটা বাজার পর্যবেক্ষণ করা কি আপনাদের পক্ষে সম্ভব হয় না, একটা অত্যাচার চলছে দেশে, দিচ্ছে কার্ড মিটার, মানুষ না খেয়ে থাকলেও মিটারে টাকা ভরতে হয়, আর সবজির চড়া দাম তো আছেই, সব মিলিয়ে অনেক ভালো আছে বাঙালি, আল্লাহ এদেশের মানুষদের হেদায়েত দান করুক",negative,n/a,n/a,low,
"ঢাকার খিলক্ষেত বাজারে এসে একটু অভিযান চালান, একটু অনুরোধ রইলো",neutral,n/a,n/a,n/a,
"কঠিন শাস্তি দেওয়া হোক, এদের এতো সুন্দর করে বোঝাতেই দিন শেষ",negative,n/a,n/a,n/a,
কৃষক বাঁচান দেশ বাঁচান,neutral,n/a,n/a,n/a,
"শাসক হতে হবে ম্যাকিয়াভেলির দ্য প্রিন্স মতো, যার যার মতো দাম হাঁকিয়ে চায়",negative,n/a,n/a,n/a,
"মেডেল এই সব দোকানে অভিযান চালালে কোনো লাভ হবে না, যেখান থেকে সবজি আসে সেখান থেকে সরকারি উদ্যোগে ট্রাকে করে সবজি ঢাকায় এনে বিক্রি করলে পানির দামে পাওয়া যাবে, আপনারা এখন যেটা করছেন এটা খুবই দৃষ্টিকটু",negative,n/a,slow,n/a,
"সুন্দর উদ্যোগ, কিন্তু কাজ তো হয় না",negative,n/a,slow,n/a,
"ব্যবসা বন্ধ করে জেল-জরিমানা নিশ্চিত করুন অনেকের, তবেই যদি একটু ভয় পায়",negative,n/a,n/a,n/a,
"যেখানে কারসাজি দেখবেন সেখানেই বড় অঙ্কের জরিমানা করা উচিত, তাহলেই এদের শিক্ষা হবে",negative,n/a,n/a,n/a,
"জরিমানা করলে হবে না, সঙ্গে জেল দিতে হবে, অন্যথায় এই চক্রকে রোধ করা কঠিন হবে, আপনাদের প্রচেষ্টা ব্যর্থ হবে",negative,n/a,n/a,n/a,
"ভোক্তার ভিডিওগুলো দেখার অপেক্ষায় থাকি, ধন্যবাদ ভোক্তা",positive,n/a,fast,n/a,
নাটোরে ভোক্তা অধিকার নেই,negative,low,n/a,n/a,
এরকম তদারকি সবসময়ই করা লাগবে,neutral,n/a,n/a,n/a,
অনেক গুরুত্বপূর্ণ ভিডিও,positive,n/a,n/a,n/a,
বড় করে জরিমানা করা হোক,negative,n/a,n/a,n/a,
সমসাময়িক ছড়া- সবজি বাজার,neutral,n/a,n/a,n/a,
"সিন্ডিকেটের কাছে কি রাষ্ট্র হেরে যাবে, রাষ্ট্রের উপদেষ্টাদের দ্বারা সিন্ডিকেট নির্মূল করা সম্ভব নয়, আমজনতাকে মাঠে নামতে হবে, যেখানে সিন্ডিকেটধারী পাওয়া যাবে সেখানেই ওদের ধরে গাছে বেঁধে সারাদিন ওই পণ্য ওদের খাওয়াতে হবে, মুখ বুজে সহ্য করলে এদেশে ফেরাউন ব্যবসা শুরু হবে, তাই সবাইকে শক্ত প্রতিরোধ গড়তে হবে, অতি দ্রুত সিন্ডিকেট নির্মূল করুন, জরিমানা নয় কারাদণ্ডে দণ্ডিত করুন, বৈষম্য বিরোধী ছাত্র আন্দোলনের ছাত্র-জনতার দ্রুত উন্নত চিকিৎসার ব্যবস্থা করুন, ব্যক্তি পূজায় লিপ্ত না হয়ে অন্যায়কে অন্যায় এবং ন্যায়কে ন্যায় বলার সৎ সাহস থাকতে হবে, আল্লাহ তায়ালা ছাড় দেন কিন্তু ছেড়ে দেন না, দেশ স্বাধীন হওয়ার আগের মন্তব্য আর এখনো একই দাবি, বাসের যাত্রীরা দশজনের বেশি দাঁড়িয়ে যেতে পারবে না, বাসের সংস্কার চাই এটাই দাবি, রাষ্ট্রের সংস্কার চাই, মৃত্যু আর আত্মহত্যা যদি জায়েজ হতো তাহলে প্রত্যেক ঘরে থেকেই লাশের গন্ধ ভেসে আসতো, ছোট্ট একটা দেশে আল্লাহর এত রহমত থাকা সত্ত্বেও সিন্ডিকেট, দুর্নীতি, বাজারের উর্ধ্বগতি, দেশে গ্যাসের খনি থাকলেও উচ্চ মূল্যে দিয়ে গ্যাস কেনা, দেশের টাকা দেশে নেই আছে বিদেশি সুইস ব্যাংকে আর বেগম পাড়ায়, স্বাধীন রাষ্ট্রে আমরা এক প্রকার জিম্মি, ধিক্কার জানাই এই রাষ্ট্র ব্যবস্থাকে যেখানে শ্রমের কোনো মূল্য নেই, যেখানে সাধারণ জনগণের দুঃখ-দুর্দশা, দুর্ভোগ ছাড়া আর কিছুই নেই, ধিক্কার জানাই অসাধু, লোভী ব্যবসায়ীদের, হে আল্লাহ আপনার কাছে বিচার দিলাম, পৃথিবীর সকল ভালো মনের মানুষগুলো সর্বদা ভালো থাকুক, আর বাকি মানুষগুলোর মনে আল্লাহ তায়ালা সঠিক বুঝ দান করুন, মানুষের প্রতি মানুষের ভালোবাসা বাড়ুক, একে অপরকে মানুষ সম্মান ও শ্রদ্ধা করতে জানুক কাউকে ছোট করতে নয়, হাডুডু বাংলাদেশের জাতীয় খেলা, তাই সৎভাবে ভালো কাজ করে এগিয়ে গেলেও পা ধরে টানাটানি করে নিচে নামিয়ে দেওয়া এদেশের মানুষের অভ্যাস, ফরমালিন যুক্ত সময়ের আগে অপরিপক্ক ফল-মূল থেকে বিরত থাকুন, ফরমালিন মুক্ত বাংলাদেশ গড়ুন, পাপ বাবকেও ছাড়বে না, কর্মের ফল ভোগ করতেই হবে, ভেজাল মুক্ত দেশ গড়ি, পৃথিবীতে বেঁচে থাকা এবং মৃত্যুর মাঝে ভালো কাজ করি, কল্যাণমূলক কাজ করি, একে অপরকে সহযোগিতা করি, এর দ্বারা মনকে প্রশান্ত করি, আমাদের দেশকে আমরাই রক্ষা করব ইনশাআল্লাহ, প্রত্যেক মুসলিম উম্মাহদের প্রতি অসুস্থ অপমান লাঞ্ছনা বৃথা হতে দেব না, ইনশাআল্লাহ, দেশীয় পণ্য কিনে হই ধন্য, দেশের টাকা দেশে রেখে দেশকে করি সমৃদ্ধ, পণ্যের মান বজায় রেখে স্বাস্থ্য সুরক্ষা ও দেশের সুনাম ছড়িয়ে পড়ুক, কট্টরপন্থীদের বয়কট, বর্বর ইসরাইলের পণ্য বয়কট, ভারতীয় পণ্য বয়কট, সকল শিক্ষা প্রতিষ্ঠান থেকে ছাত্র রাজনীতি চিরতরে নিষিদ্ধ করার দাবি জানাই, সোনার টুকরো ছেলে-মেয়েরা মায়ের বুকে বেড়ে উঠুক, সন্তান হারানোর যন্ত্রণা থেকে রেহাই পাক মা-বাবা, সুশিক্ষায় শিক্ষিত হোক, দেশে ও জাতির কল্যাণ বয়ে আনুক, সাধারণ মানুষদের জিম্মি করে ফেলেছে, এখানে প্রশাসন ঘুমিয়ে আছে, ধর্ষকের বিচার চাই, ধর্ষকের মৃত্যুদণ্ড চাই, গাছ লাগান পরিবেশ বাঁচান, বেকারত্বের মতো বিভীষিকাময় দুর্ভিষহ যন্ত্রণা থেকে মুক্তি পাক প্রতিটা ঘরে ঘরে, আত্মনির্ভরশীল হোক প্রিয় মাতৃভূমির মানুষগুলো",negative,n/a,n/a,low,
"বাংলাদেশের সবচেয়ে বড় ফ্যাসিস্ট হচ্ছে বড় পাইকারি ব্যবসায়ীরা, আড়তদাররা, এখন খুচরা ব্যবসায়ীরাও সিন্ডিকেট করতে শুরু করেছে বড় বড় বাজারগুলোতে, এদেরকে ভালোভাবে আইনের আওতায় আনেন, কারাগারে পাঠান, দেশের বাজার ঠিক হয়ে যাবে",negative,n/a,n/a,n/a,
"অসৎ-অতিলোভী মুনাফাখোর ব্যবসায়ী আর ভোক্তা অধিদপ্তরের চোর-পুলিশ খেলা আর ভালো লাগে না, দেশের সব মানুষের জন্য আধুনিক রেশন সিস্টেম চালু করা যায় না, যেখানে রাষ্ট্রের নিয়ন্ত্রণে উৎপাদকের থেকে সরাসরি পণ্য সংগ্রহ ও পরিবহণ করে উপযুক্ত ডিলারের মাধ্যমে এলাকাভিত্তিক অনলাইনে অর্ডার নিয়ে স্থায়ী রেশন দোকানে নিত্যপণ্যের সব কিছু বিক্রয় করেন",negative,n/a,n/a,n/a,
চৌমুহনী বাজার এবং আমাদের কাশিপুর বাজারে অভিযান চালানো উচিত,neutral,n/a,n/a,n/a,
"আমি অনেকবার অনেক রকম মন্তব্য করি, আমার একটাই দাবি যে খিলক্ষেত বাজারে একটা অভিযান চালান, দয়া করে",neutral,n/a,n/a,n/a,
দয়া করে দেশের সকল প্রান্তে এমন অভিযান চালিয়ে দেন,neutral,n/a,n/a,n/a,
সাভার হেমায়েতপুরে অভিযান করা দরকার,neutral,n/a,n/a,n/a,
"আমাদের চক্রবর্তী বেক্সিমকো ইন্ডাস্ট্রিয়াল পার্ক, চক্রবর্তী বাজারে খুব বেশি জিনিসের দাম, কেউ দেখার নেই, দয়া করে এদিকে একটু নজর দিন, আমরা গার্মেন্টসের চাকরি করে খেয়ে-পরে চলতে পারছি না",negative,n/a,n/a,low,
এরাই হলো চোর,negative,n/a,n/a,n/a,
দোকানদারদের সব মুখস্ত কথা,negative,n/a,n/a,n/a,
"এগুলো দেখতে ঠিক নাটকের মতোই লাগে, মনে হচ্ছে ম্যাডাম তার বাসার পাশের বাজারে ঢুকেই শুধু এমনটা করে আর দেশের বাকি মানুষের কোনো খোঁজ নেই, এরকম ঘোরাঘুরি না করে দামটা আগে সঠিকভাবে নির্ধারণ করেন",negative,n/a,slow,n/a,
এদের ধরে কি লাভ বলেন,negative,n/a,n/a,n/a,
"উচ্চ লেবেলের জরিমানা করেন, ঠিক হয়ে যাবে, মোটা অঙ্কের জরিমানা করলে অন্য ব্যবসায়ীরা আর সিন্ডিকেট করতে সাহস পাবে না",negative,n/a,n/a,n/a,
ধন্যবাদ,positive,n/a,n/a,n/a,
সিলেটে কাঁচামরিচ সাতশ টাকা কেজি,negative,n/a,n/a,low,
আমাদের ফরিদপুর জেলা ভাংগায় অভিযান করা দরকার,neutral,n/a,n/a,n/a,
"বড় বড় আড়তে তদারকি করতে হবে, ছোট ছোট দোকানে জরিমানা করার কোনো মানে হয় না",negative,n/a,n/a,n/a,
উন্মুক্ত বাজার ব্যবস্থা যতদিন থাকবে ততদিন এই ভোগান্তি শেষ হবে না,negative,n/a,n/a,n/a,
"শুয়াগাজী বাজার, সদর দক্ষিণ, কুমিল্লা, মরিচের কেজি তিনশ ষাট থেকে চারশ টাকা, সবজির দাম নাই বললাম, ডিম ত্রিশ পিস চারশ টাকা, দেখার কেউ নেই",negative,n/a,n/a,low,
"খুচরা ব্যবসায়ীরা সবচেয়ে বেশি দাম বাড়ায়, এরা ইচ্ছেমতো দাম চায় যার থেকে যা পারে",negative,n/a,n/a,n/a,
"ওনারা বেশি দাম দিয়ে কিনে এনে কম দামে বিক্রি করবে নাকি, আপনারা পাইকারি বা যারা সবজি আমদানি করে তাদেরকে বলুন",negative,n/a,n/a,n/a,
চারশ টাকা করে,negative,n/a,n/a,low,
"কিছু হয় না, দাম দিয়ে খেতে হচ্ছে আমাদের সাধারণ জনগণকে",negative,n/a,n/a,low,
"উত্তরায় আসেন, সেক্টর ছয়ে",neutral,n/a,n/a,n/a,
নাটক কম করতে বলেন আপনাদের,negative,n/a,n/a,n/a,
আমাদের এলাকায় ছয়শ টাকা প্রতি কেজি কাঁচামরিচ,negative,n/a,n/a,low,
দয়া করে মাদারীপুর সদর লেগপাড়ে মনিটরিং করা হোক,neutral,n/a,n/a,n/a,
"সবজি আছে, তারপরও এত দাম কেন",negative,n/a,n/a,low,
"আপা, জাতরাবাড়ি আড়তে অভিযান চালান",neutral,n/a,n/a,n/a,
"আর আপনারা যে জরিমানা করেন, এগুলো করে কোনো লাভ নেই, একটাকে ধরে দুই মাস করে জেল দিতে হবে, আর সেজন্য জেল না খেটে কোনোভাবে বের হতে না পারে",negative,n/a,n/a,n/a,
"ঊনপঞ্চাশ ধানের পঁচিশ কেজি চালের বস্তা হবিগঞ্জ বাজার থেকে এইমাত্র কিনলাম এক হাজার পাঁচশ পঞ্চাশ টাকা, যা গতকালও এক হাজার পাঁচশ টাকা ছিল, এক মাস আগে ছিল এক হাজার চারশ টাকা, বাজারের এই অবস্থার জন্য কার কাছে বিচার প্রার্থী হব, তবে কি এই দেশের জনগণ শুধু শোষিতই হবে",negative,n/a,n/a,low,
"ম্যাজিস্ট্রেট এদেরকে কোনোরকম বড় শাস্তি দেয় না, এর জন্য এরা কোনো আইন মেনে চলে না",negative,n/a,n/a,n/a,
"উপদেষ্টা মহোদয়গণ, দয়া করে বাজারে যান, দেখুন, বাজারে আগুন লেগেছে, আগুন নেভানোর দ্রুত ব্যবস্থা নিন, অন্যথায়, এই আগুন ছড়িয়ে পড়বে অন্যত্র",negative,n/a,slow,low,
"দোকানে ভাড়া কতো দেয়, সেগুলো কেউ জিজ্ঞেস করে না",negative,n/a,n/a,n/a,
"সিন্ডিকেট বন্ধের জোর দাবি জানাচ্ছি, বাংলাদেশের সব জায়গায় পর্যাপ্ত পরিমাণে সবজি থাকা সত্ত্বেও কিছু সিন্ডিকেট ব্যবসায়ীর কারণে এখন বাজার অস্থিতিশীল",negative,n/a,n/a,low,
"শুধু ঢাকা শহরের কয়েকটা দোকানে অভিযান চালিয়ে কোনো লাভ নেই, দেশের প্রত্যেকটি অঞ্চলে অভিযান চালান, জেলা থেকে শুরু করে উপজেলা পর্যন্ত",negative,n/a,slow,n/a,
"ভোক্তা অধিকার আইন দিয়েই বাজার নিয়ন্ত্রণ সম্ভব, দরকার আরো লোকবল এবং কেনাকাটার নথি প্রদান বিষয়ে সরকারি একটি নির্দেশ, বাজার তখন জনগণই ঠিক করে ফেলবে",neutral,n/a,n/a,n/a,
"ওরা এমন ভাব ধরে যেন কিছুই বুঝে না, আসলে এই আড়তদারগুলো এবং পাইকারি বিক্রেতাগণ হচ্ছে নাটের গুরু, সরকারি গেজেট আকারে সারা দেশে বিজ্ঞপ্তি দিতে হবে, পাকা রসিদ ছাড়া বেচাকেনা বন্ধ, যৌক্তিক লাভের বেশি করলে এবং কোনো প্রকার অনিয়ম প্রমাণিত হলে প্রতিষ্ঠান বন্ধ সহ বিশাল অঙ্কের জরিমানা গুনতে হবে, ভোক্তা পর্যায়ে অনেক ক্ষেত্রে মেমো সংরক্ষণ করা সম্ভব হয় না, আড়তদার আর পাইকারি বিক্রেতা/ডিলাররা বাজার ব্যবস্থা ধ্বংস করে ফেলেছে, যে ব্যবসায়ী আইন অমান্য করে অরাজকতা সৃষ্টিকারী প্রমাণিত হবে তাকে বারো বছর সশ্রম কারাদণ্ডের আইন করতে হবে",negative,n/a,n/a,n/a,
"ধরে জেলে দিতে হবে, তা না হলে ওদের শিক্ষা হবে না, আপনারা যতই পরিশ্রম করেন না কেন, টাকা আর জেল সাথে লাইসেন্স বাতিল করে দেন, দেখেন এক মাসের মধ্যে সব ঠিক হয়ে যাবে",negative,n/a,n/a,n/a,
"এইভাবে অভিযান করলে চলবে না, কোনো জরিমানা নেই, শাস্তি নেই, শুধু সতর্ক করা, এই সতর্কতায় কোনো লাভ নেই, বড় ধরনের শাস্তি দিতে হবে",negative,n/a,n/a,n/a,
"আপনাদের উচিত প্রতিটি গলিতে এবং প্রতিটি ভ্যানওয়ালাকে ধরা, কারণ জনগণ কিন্তু সবাই বাজারে যায় না, অনেকে বাসার সামনে থেকে নেয়, পাশের বাজার থেকে নেয়, সেই জায়গাগুলো আপনাদের মনিটরিং করা দরকার, শুধু বড় বাজারে গেলে তা হবে না",negative,n/a,n/a,n/a,
ঢাকা দোহারের জয়পাড়া বাজারে আসবেন দয়া করে,neutral,n/a,n/a,n/a,
"এই রকম অভিযানে কোনো লাভ হবে না, আপনারা একটু সৌদি আরব গিয়ে দেখেন তারা কী ব্যবস্থা নেয়, হায়রে আমার সোনার বাংলাদেশ",negative,n/a,slow,n/a,
সাভার,neutral,n/a,n/a,n/a,
কোনো লাভ নেই,negative,n/a,n/a,n/a,
এদেরকে জেলে দেওয়া উচিত,negative,n/a,n/a,n/a,
জেলার কর্মকর্তারা নিয়মিত অভিযান করছে না কেন,negative,low,n/a,n/a,
গাজীপুরে মাত্র ছয়শ টাকা,negative,n/a,n/a,low,
"বাজার সিন্ডিকেট এখন একজনের হাতে নেই, খুচরা ব্যবসায়ী থেকে শুরু করে সবাই যার যার মতো সাধারণ জনগণের কাছ থেকে যেভাবে পারছে এভাবেই তাদের স্বার্থ হাসিল করে নিচ্ছে, এই সিন্ডিকেট মানতে হলে প্রত্যেকটা নাগরিকের প্রতিবাদ করতে হবে, তা না হলে একজনের কখনো সম্ভব না এই সিন্ডিকেট ভাঙা",negative,n/a,n/a,n/a,
"ঘরে ঘরে চোর যদি এতো হয়, ভোক্তা অধিকার কয় চোরকে ঠিক করবে, ঠিক তো আল্লাহ ভয়ে নিজেকে নিজের ঠিক করতেই হবে",negative,n/a,n/a,n/a,
"ভোক্তা কি শুধুই ঢাকার ভিতর, ঢাকার বাইরে কি ভোক্তা নেই",negative,low,n/a,n/a,
"লক্ষ্মীবাজারে তাড়াতাড়ি আসেন, সবজিওয়ালা গুলোকে আর দেখতে ইচ্ছা করছে না",negative,n/a,n/a,n/a,
ভোক্তা অধিকারের যোগাযোগ নম্বর কত,neutral,n/a,n/a,n/a,
"এতো সতর্কতা দেওয়ার দরকার নেই, হয় এদের জেলে নিয়ে যান আর না হয় শহরে জন অন্য কেউ আসুক",negative,n/a,n/a,n/a,
"এত কথা বলার কি দরকার, কথা কম কাজ বেশি, সোজা কথায় কাজ হবে না, শাস্তি দেন",negative,n/a,n/a,n/a,
"এই মাননীয়ার কথা বলার ধরনটা মোটেই ভালো না, এই এটা আবার কী ধরনের ডাক",negative,n/a,n/a,n/a,
"শুধু জরিমানা ধরলে হবে না, এদেরকে কমপক্ষে এক মাসের জেল দেওয়া হোক",negative,n/a,n/a,n/a,
ওনাদের সাথে যোগাযোগের মাধ্যম কি,neutral,n/a,n/a,n/a,
"মুহাম্মদ আজাদ, টিসিবি ভবন, কারওয়ানবাজার, ঢাকা, সরাসরি অফিসে গিয়ে অভিযোগ দিয়ে আসলে এ হবে ভাইয়া",neutral,n/a,n/a,n/a,
"আল সাদাত খান সুপ্রিয় ভাইয়া, গাজীপুর থেকে কোনোভাবে করা যাবে না",neutral,n/a,n/a,n/a,
"মুহাম্মদ আজাদ, অফিসে এসে করলে সব থেকে ভালো ভাইয়া, স্থানে স্থানে একটা অভিযোগ নম্বর দিয়ে দেই, সবচেয়ে ভালো হবে, কষ্ট করে হলেও অফিসে এসে করা",neutral,n/a,n/a,n/a,
"আল সাদাত খান সুপ্রিয়, ধন্যবাদ ভাইয়া",positive,n/a,n/a,n/a,
"একটা অনলাইন পেজের বিরুদ্ধে অভিযোগ করতে চাই, দয়া করে সাহায্য করেন",neutral,n/a,n/a,n/a,
"জান্নাতুল ফেরদাউস, আসসালামু আলাইকুম আপু, আপনি সরাসরি ওনাদের অফিসে গিয়ে অভিযোগটা দিয়ে আসবেন, তাহলে এ হবে",neutral,n/a,n/a,n/a,
"জাতীয় ভোক্তা-অধিকার সংরক্ষণ অধিদপ্তর, ওদের এভাবে নিয়ন্ত্রণ করা যাবে না, পাঁচ বছরের জেল আর আট থেকে দশ লাখ টাকা জরিমানা করেন, দেশে আর কোনো সিন্ডিকেট থাকবে না",negative,n/a,n/a,n/a,
"খামারে যান না কেন, প্রমাণ দেখান খামারে ডিমের দাম কম",negative,n/a,n/a,low,
"বড় বড় কোম্পানিগুলোতে অভিযান চালানো হোক, শুধু জরিমানা করে ছেড়ে দিলে আবার এরা একই কাজ করবে, তাই এদেরকে কঠিন শাস্তি দেওয়া হোক",negative,n/a,n/a,n/a,
"আপনারা বাজার মনিটরিংয়ে গিয়ে ক্যাশ মেমো চাইলে মেক্সিমাম ক্রেতা-বিক্রেতা বলে ক্যাশ মেমো বা স্লিপ নেই, এই খেলা আর কতদিন দেখব, যারা ক্যাশ মেমো দেখাতে পারবে না তাদের মালামাল চোরাই মাল হিসেবে গণ্য করেন এবং চোরাই মাল রাখার দায়ে গ্রেফতার ও মালামাল বাজেয়াপ্ত করেন, এ জাতির জন্য এর চেয়ে ভালো সমাধান হতে পারে না",negative,n/a,n/a,n/a,
এক লাখ টাকা জরিমানা করা উচিত ছিল,negative,n/a,n/a,n/a,
"খিলক্ষেত এলাকায় বাজার তদারকির জন্য দৃষ্টি আকর্ষণ করছি, এখানে ডিম, গ্যাস সহ কোনো কিছুই সরকারের বেঁধে দেওয়া দামে বিক্রি করে না এখানকার দোকানদাররা, মুদি দোকান, সবজি দোকানসহ মাছের বাজারগুলো ভোক্তাদের সাথে যা ইচ্ছা তাই দাম রাখছে",negative,n/a,n/a,low,
"ব্র্যান্ডের দোকান রিচ ম্যান, ক্যাটস আই ওনারা রসিদ দেয়, লোকাল পোশাক দোকানদার রসিদ দেয় না, উদাহরণটা বাস্তবিকভাবেই দিতে হয় ওনাদেরকে, ওনারা রসিদ নিয়ে কখনো জামা কেনে না",negative,n/a,n/a,n/a,
"এত আদেশ-নিষেধের পরেও একশ নব্বই টাকা ডজন ডিম কিনতে হচ্ছে, প্রতিটা ডিম পনেরো দশমিক পঁচাত্তর টাকা করে পড়ছে",negative,n/a,n/a,low,
"ভোক্তা অধিকার সংরক্ষণের অধীনে যে কর্মশালা হয়েছে সেই কর্মশালায় স্বেচ্ছাসেবক এবং ছাত্র যারা অংশগ্রহণ করেছেন, দয়া করে আমি একজনের সাথে যোগাযোগ করতে চাই, এমন কেউ থাকলে আমাকে যোগাযোগ করুন। হোয়াটসঅ্যাপ: ০১৭২৩২১১৩৬৬",neutral,n/a,n/a,n/a,
"দয়া করে আমাদের কামরাঙ্গীরচরে অভিযান চালান, এখানে এখনো ষাট টাকা হালি ডিম বিক্রি হয়",negative,n/a,n/a,low,
"বারবার নির্দেশনা দেওয়ার পর পাকা রশিদ না দিলে ব্যবসা বন্ধ করে দিন। চারিদিকে এত ভণ্ড উদ্যোক্তার প্রয়োজন নেই। আমরা ইউরোপ-আমেরিকার মহাদেশগুলোর দিকে তাকালে দেখতে পারি যে, রাস্তায় রাস্তায় অনিয়ম করে কেউ ব্যবসা করে না। অধিকাংশই দোকান ভবনের ভিতর। এতে তদারকি ও নিয়ন্ত্রণ সহজতর।",negative,n/a,n/a,n/a,
জরিমানা না করে তিন থেকে পাঁচ বছরের জেল দিন। সব ঠিক হয়ে যাবে। জাতীয় ভোক্তা-অধিকার সংরক্ষণ অধিদপ্তর,negative,n/a,n/a,n/a,
"সিন্ডিকেটের কাছে কি রাষ্ট্র হেরে যাবে? অতি দ্রুত সিন্ডিকেট নির্মূল করুন, জরিমানা নয় কারাদণ্ডে দণ্ডিত করুন। ব্যক্তি পূজায় লিপ্ত না হয়ে অন্যায়কে অন্যায় এবং ন্যায়কে ন্যায় বলার সৎ সাহস থাকতে হবে। আল্লাহ তায়ালা ছাড় দেন কিন্তু ছেড়ে দেন না। দেশ স্বাধীন হওয়ার আগের মন্তব্য আর এখনো একই দাবি। বাসের যাত্রীরা দশজনের বেশি দাঁড়িয়ে যেতে পারবে না। বাসের সংস্কার চাই এটাই দাবি। রাষ্ট্রের সংস্কার চাই। মৃত্যু আর আত্মহত্যা যদি জায়েজ হতো তাহলে প্রত্যেক ঘরে থেকেই লাশের গন্ধ ভেসে আসতো। ছোট্ট একটা দেশে আল্লাহর এত রহমত থাকা সত্ত্বেও সিন্ডিকেট, দুর্নীতি, বাজারের উর্ধ্বগতি, দেশে গ্যাসের খনি থাকলেও উচ্চ মূল্যে গ্যাস কেনা। দেশের টাকা দেশে নেই, আছে বিদেশি সুইস ব্যাংকে আর বেগম পাড়ায়। স্বাধীন রাষ্ট্রে আমরা এক প্রকার জিম্মি। ধিক্কার জানাই এই রাষ্ট্র ব্যবস্থাকে যেখানে শ্রমের কোনো মূল্য নেই, যেখানে সাধারণ জনগণের দুঃখ-দুর্দশা, দুর্ভোগ ছাড়া আর কিছুই নেই। ধিক্কার জানাই অসাধু, লোভী ব্যবসায়ীদের। হে আল্লাহ আপনার কাছে বিচার দিলাম। পৃথিবীর সকল ভালো মনের মানুষ সর্বদা ভালো থাকুক। আর বাকি মানুষের মনে আল্লাহ তায়ালা সঠিক বুঝ দান করুন। মানুষের প্রতি মানুষের ভালোবাসা বাড়ুক। একে অপরকে মানুষ সম্মান ও শ্রদ্ধা করতে জানুক, কাউকে ছোট করতে নয়। হাডুডু বাংলাদেশের জাতীয় খেলা, তাই সৎভাবে ভালো কাজ করে এগিয়ে গেলেও পা ধরে টানাটানি করে নিচে নামিয়ে দেওয়া এদেশের মানুষের অভ্যাস। ফরমালিনযুক্ত সময়ের আগে অপরিপক্ক ফল-মূল থেকে বিরত থাকুন। ফরমালিন মুক্ত বাংলাদেশ গড়ুন। পাপ বাবকেও ছাড়বে না, কর্মের ফল ভোগ করতেই হবে। ভেজাল মুক্ত দেশ গড়ি, পৃথিবীতে বেঁচে থাকা এবং মৃত্যুর মাঝে ভালো কাজ করি, কল্যাণমূলক কাজ করি, একে অপরকে সহযোগিতা করি, এর দ্বারা মনকে প্রশান্ত করি। আমাদের দেশকে আমরাই রক্ষা করব ইনশাআল্লাহ, প্রত্যেক মুসলিম উম্মাহদের প্রতি অসুস্থ অপমান লাঞ্ছনা বৃথা হতে দেব না। দেশীয় পণ্য কিনে হই ধন্য, দেশের টাকা দেশে রেখে দেশকে করি সমৃদ্ধ, পণ্যের মান বজায় রেখে স্বাস্থ্য সুরক্ষা ও দেশের সুনাম ছড়িয়ে পড়ুক। কট্টরপন্থীদের বয়কট, বর্বর ইসরাইলের পণ্য বয়কট, ভারতীয় পণ্য বয়কট। সকল শিক্ষা প্রতিষ্ঠান থেকে ছাত্র রাজনীতি চিরতরে নিষিদ্ধ করার দাবি জানাই। সোনার টুকরো ছেলে-মেয়েরা মায়ের বুকে বেড়ে উঠুক, সন্তান হারানোর যন্ত্রণা থেকে রেহাই পাক মা-বাবা। সুশিক্ষায় শিক্ষিত হোক, দেশে ও জাতির কল্যাণ বয়ে আনুক। সাধারণ মানুষদের জিম্মি করে ফেলেছে, এখানে প্রশাসন ঘুমিয়ে আছে। ধর্ষকের বিচার চাই, ধর্ষকের মৃত্যুদণ্ড চাই। গাছ লাগান পরিবেশ বাঁচান। বেকারত্বের মতো বিভীষিকাময় দুর্ভিষহ যন্ত্রণা থেকে মুক্তি পাক প্রতিটা ঘরে ঘরে। আত্মনির্ভরশীল হোক প্রিয় মাতৃভূমির মানুষগুলো।",negative,n/a,n/a,low,
